Date,Time,Number of tweets,Additive score,Mean score,Standard deviation score,Number of positive,Percentage of positive
2022-03-03,4:0,93,4,0.0753758280357766,0.2375921222805388,10,0.1075268817204301
2022-03-03,4:15,92,13,0.1511921606218928,0.3034970003674409,20,0.217391304347826
2022-03-03,4:30,93,11,0.15404592122462,0.295201804027646,20,0.2150537634408602
2022-03-03,4:45,76,14,0.1843411322732112,0.3149282772550253,23,0.3026315789473684
2022-03-03,5:0,121,15,0.1483267333420101,0.2514170316952643,19,0.1570247933884297
2022-03-03,5:15,137,9,0.1546704563223858,0.2369270873225548,47,0.3430656934306569
2022-03-03,5:30,119,18,0.1787065431483465,0.2872280947959805,31,0.2605042016806723
2022-03-03,5:45,83,17,0.1981764739850558,0.3136724025203211,25,0.3012048192771084
2022-03-03,6:0,136,16,0.138232684269657,0.2569850293451141,30,0.2205882352941176
2022-03-03,6:15,126,10,0.1080754411347683,0.2242351888542427,17,0.1349206349206349
2022-03-03,6:30,83,3,0.1120390315001538,0.2438727410220242,17,0.2048192771084337
2022-03-03,6:45,129,14,0.1726952130552525,0.2906082953910774,30,0.2325581395348837
2022-03-03,7:0,81,11,0.1641322247120609,0.2990485857338226,20,0.2469135802469135
2022-03-03,7:15,120,13,0.1457093504917187,0.2323725836546528,27,0.225
2022-03-03,7:30,127,25,0.2124941974702313,0.2907935984320732,33,0.2598425196850393
2022-03-03,7:45,9,1,0.1437867307621571,0.2262668173986209,1,0.1111111111111111
2022-03-03,8:0,126,22,0.2110258739493373,0.2972916464560085,54,0.4285714285714285
2022-03-03,8:15,124,6,0.1381985449998249,0.2265496084192134,41,0.3306451612903225
2022-03-03,8:30,168,13,0.1623806471027256,0.2139508184070176,65,0.3869047619047619
2022-03-03,8:45,156,20,0.1693188501074193,0.2616207921831332,38,0.2435897435897435
2022-03-03,9:0,37,3,0.1563609938665821,0.1906291814528198,13,0.3513513513513513
2022-03-03,9:15,120,11,0.1383983773722623,0.2832490311931344,31,0.2583333333333333
2022-03-03,9:30,218,13,0.0922247078846456,0.2248725265235869,23,0.1055045871559633
2022-03-03,9:45,140,10,0.1839038693179775,0.3042370281586789,70,0.5
2022-03-03,10:0,94,9,0.1591855279526653,0.2555523773787386,34,0.3617021276595745
2022-03-03,10:15,117,6,0.1241117615459693,0.2364208448909127,42,0.358974358974359
2022-03-03,10:30,89,1,0.0541143033475604,0.2763552438462229,11,0.1235955056179775
2022-03-03,10:45,115,15,0.2023485553572359,0.2656905377429165,48,0.417391304347826
2022-03-03,11:0,325,31,0.1646598307974636,0.2093411724223666,97,0.2984615384615384
2022-03-03,11:15,308,16,0.1017568927702747,0.1994167895506734,43,0.1396103896103896
2022-03-03,11:30,87,8,0.1307356140212338,0.2434906255725546,21,0.2413793103448276
2022-03-03,11:45,129,11,0.1425266987319256,0.256687844592138,36,0.2790697674418604
2022-03-03,12:0,141,16,0.1489570973876943,0.2362810724972054,30,0.2127659574468085
2022-03-03,12:15,141,13,0.1346078245530684,0.2424994477483373,37,0.2624113475177305
2022-03-03,12:30,135,12,0.1527131683986496,0.2303447878302284,44,0.3259259259259259
2022-03-03,12:45,123,14,0.1687789864353532,0.2610804193421238,38,0.3089430894308943
2022-03-03,13:0,175,23,0.1671589297774647,0.262806158995759,53,0.3028571428571429
2022-03-03,13:15,148,8,0.0850966193090268,0.2571551032838582,24,0.1621621621621621
2022-03-03,13:30,203,27,0.1787787136860338,0.2667131364062047,72,0.354679802955665
2022-03-03,13:45,194,16,0.117346297239059,0.24291121693232,32,0.1649484536082474
2022-03-03,14:0,167,31,0.2079227801473688,0.2785754259455585,47,0.281437125748503
2022-03-03,14:15,203,29,0.1571160773333767,0.2649006346347461,43,0.2118226600985221
2022-03-03,14:30,343,19,0.0874308651522258,0.2005350051046568,36,0.1049562682215743
2022-03-03,14:45,253,21,0.1140364422444475,0.2205211850887966,40,0.1581027667984189
2022-03-03,15:0,271,19,0.1228271455081296,0.2147521725413363,50,0.1845018450184501
2022-03-03,15:15,279,23,0.1279401387151424,0.2095707068378766,41,0.1469534050179211
2022-03-03,15:30,460,40,0.1377289126333578,0.2298390560002491,76,0.1652173913043478
2022-03-03,15:45,301,54,0.1959716591464225,0.2824927437702354,96,0.3189368770764119
2022-03-03,16:0,296,14,0.1226220289260979,0.2085387263502306,62,0.2094594594594594
2022-03-03,16:15,397,13,0.0945886045973513,0.169629436549425,38,0.0957178841309823
2022-03-03,16:30,220,20,0.133640394537625,0.2477421559475835,42,0.1909090909090909
2022-03-03,16:45,291,23,0.1419017727909244,0.2641161867980958,67,0.2302405498281786
2022-03-03,17:0,184,13,0.121586714420751,0.2948331252239159,39,0.2119565217391304
2022-03-03,17:15,207,22,0.1389451705567214,0.2918834157757596,46,0.2222222222222222
2022-03-03,17:30,238,0,0.055509724468384,0.2421831830028048,21,0.088235294117647
2022-03-03,17:45,213,14,0.101045319664034,0.2499413398535266,39,0.1830985915492957
2022-03-03,18:0,162,14,0.1375823764153468,0.2597519721161945,35,0.2160493827160493
2022-03-03,18:16,143,13,0.1208128600863257,0.224456907652926,31,0.2167832167832167
2022-03-03,18:30,269,9,0.0767615906509906,0.2314629823807573,36,0.1338289962825278
2022-03-03,18:45,144,13,0.1442587474981943,0.2411489539050698,41,0.2847222222222222
2022-03-03,19:2,130,5,0.0777638458897574,0.1903595210850995,12,0.0923076923076923
2022-03-03,19:15,133,4,0.1083684410143615,0.2064274613175854,30,0.225563909774436
2022-03-03,19:30,123,2,0.0925830458518026,0.2285032942296695,34,0.2764227642276423
2022-03-03,19:45,126,0,0.0880422053067752,0.2387467483181226,31,0.246031746031746
2022-03-03,20:0,139,7,0.100000181195172,0.2190774799707638,30,0.2158273381294964
2022-03-03,20:15,102,1,0.0545293825094168,0.2428918981468393,16,0.1568627450980392
2022-03-03,20:30,76,2,0.0995837894672724,0.2836218948614493,21,0.2763157894736842
2022-03-03,20:45,124,-1,0.0947837634537849,0.1680373044237302,33,0.2661290322580645
2022-03-03,21:0,146,-1,0.09393468674604,0.1876568713642294,43,0.2945205479452055
2022-03-03,21:15,133,-3,0.0344455729035618,0.2033999736722127,15,0.112781954887218
2022-03-03,21:30,196,-2,0.0846870689301238,0.1579031877099243,18,0.0918367346938775
2022-03-03,21:45,289,6,0.1197159973208415,0.1457530214299243,36,0.1245674740484429
2022-03-03,22:0,107,4,0.0990320189037821,0.1670500589853404,22,0.205607476635514
2022-03-03,22:15,101,3,0.0791883088445457,0.1457258168059286,13,0.1287128712871287
2022-03-03,22:30,86,2,0.0946970519035794,0.2211991260300131,15,0.1744186046511628
2022-03-03,22:45,169,4,0.1270698789815754,0.1756258264585319,51,0.301775147928994
2022-03-03,23:0,89,-1,0.0612234182791847,0.21057979225054,15,0.1685393258426966
2022-03-03,23:15,143,21,0.1370987034910782,0.2725344220271271,31,0.2167832167832167
2022-03-03,23:30,132,3,0.0823204228972,0.1889554263996453,18,0.1363636363636363
2022-03-03,23:45,124,1,0.0764038547039813,0.1445988295924238,13,0.1048387096774193
2022-03-04,0:0,56,4,0.0691259488895801,0.1889332458262051,7,0.125
2022-03-04,0:15,463,16,0.0785488061441941,0.1807185041948779,53,0.1144708423326133
2022-03-04,0:30,373,7,0.0693318483834192,0.1776589603209332,40,0.1072386058981233
2022-03-04,0:45,287,4,0.0654603409911879,0.2032712587320402,37,0.1289198606271777
2022-03-04,1:0,246,6,0.0646880214874882,0.1764898530506004,28,0.1138211382113821
2022-03-04,1:15,190,14,0.0894201312753322,0.2307332635079907,33,0.1736842105263158
2022-03-04,1:30,103,9,0.101282512502365,0.2743914626418343,24,0.233009708737864
2022-03-04,1:45,81,19,0.2132965903096821,0.3598133195202093,28,0.345679012345679
2022-03-04,2:0,80,8,0.1053045009786728,0.2854879968674727,14,0.175
2022-03-04,2:15,140,19,0.1413760035598118,0.2827297566641527,26,0.1857142857142857
2022-03-04,2:30,101,12,0.1197432334267414,0.283821759459352,22,0.2178217821782178
2022-03-04,2:45,100,4,0.0619240776309743,0.316697332344315,14,0.14
2022-03-04,3:0,115,4,0.0889813624686845,0.2281479803567703,12,0.1043478260869565
2022-03-04,3:15,106,8,0.0850171345672658,0.305786974871944,16,0.1509433962264151
2022-03-04,3:30,64,10,0.1741339371365029,0.3145171645071799,17,0.265625
2022-03-04,3:45,78,9,0.1280711566050274,0.3378546440140973,18,0.2307692307692307
2022-03-04,4:0,75,6,0.0905444931735595,0.3067073967699535,16,0.2133333333333333
2022-03-04,4:15,99,2,0.0526619483622712,0.2141201196755374,9,0.0909090909090909
2022-03-04,4:30,109,30,0.26653447111966,0.3285582499012354,39,0.3577981651376147
2022-03-04,4:45,85,7,0.1312978273421964,0.2898205020392088,22,0.2588235294117647
2022-03-04,5:0,95,4,0.0910644288664977,0.285189909880628,19,0.2
2022-03-04,5:15,93,3,0.0508960919925362,0.2180110719949581,10,0.1075268817204301
2022-03-04,5:30,93,6,0.0903297770187579,0.2952013195044057,17,0.1827956989247312
2022-03-04,5:45,147,10,0.1016935240699067,0.2783646555824168,27,0.1836734693877551
2022-03-04,6:0,158,14,0.1836137309982854,0.2505406023033579,66,0.4177215189873418
2022-03-04,6:15,208,11,0.0899529576440377,0.1867079107540417,30,0.1442307692307692
2022-03-04,6:30,102,14,0.1480319048004115,0.2646750685784321,29,0.284313725490196
2022-03-04,6:45,73,12,0.1857077295011649,0.2935007077408526,25,0.3424657534246575
2022-03-04,7:0,84,7,0.1163023434568285,0.2703979058049814,15,0.1785714285714285
2022-03-04,7:15,130,7,0.0934548329884329,0.2452933813821014,17,0.1307692307692307
2022-03-04,7:30,77,3,0.0776649286075459,0.2607248125645665,13,0.1688311688311688
2022-03-04,7:45,158,14,0.1203831532421887,0.2663966095911045,31,0.1962025316455696
